# {'model': 'gpt2', 'layer': 5, 'hook': 'transformer.h[5].mlp.act', 'm': 3072, 'vocab': 50257, 'device': 'cuda'}
neuron	bos_act	exp_wins	imp_r_wins	imp_i_wins	exp_max	imp_max_all	imp_max_last
242	-0.091828	0	0	0	-0.086560	1.355807	1.355807
243	-0.024543	0	0	0	-0.023156	2.456085	2.456085
244	-0.032370	0	0	0	-0.029112	1.309198	1.309198
245	0.107782	0	0	0	0.117233	1.500444	1.500444
246	-0.032356	0	0	0	-0.029689	2.535653	2.535653
247	-0.092519	0	0	0	-0.090049	0.721958	0.721958
248	0.458108	0	0	0	0.477835	1.063094	1.063094
249	-0.057312	0	0	0	-0.053085	1.205859	1.205859
250	-0.113045	0	0	0	-0.109239	1.456545	1.456545
251	-0.048568	0	0	0	-0.045377	2.060679	2.060679
252	-0.064315	0	0	0	-0.062207	2.293251	2.293251
253	-0.053414	0	0	0	-0.048310	1.091787	1.091787
254	0.298816	0	0	0	0.316858	1.148009	1.148009
255	-0.057068	0	0	0	-0.053281	0.884183	0.884183
256	-0.027897	0	4	6	-0.025160	3.374213	3.374213
257	-0.168362	0	0	0	-0.167371	1.522585	1.522585
258	0.111830	0	0	0	0.132162	1.006337	1.006337
259	0.270364	0	0	0	0.303442	1.571046	1.571046
260	-0.057195	0	0	0	-0.054514	1.378089	1.378089
261	0.667394	0	0	0	0.712354	1.481433	1.481433
262	0.506693	0	0	0	0.526288	1.406055	1.406055
263	0.604203	0	0	0	0.636027	0.772994	0.772994
264	-0.070583	0	0	0	-0.066686	1.636604	1.636604
265	-0.076384	0	0	0	-0.073401	2.293158	2.293158
266	-0.160841	0	0	0	-0.159527	0.975492	0.975492
267	0.657102	0	0	0	0.681290	0.955112	0.955112
268	0.007631	0	0	0	0.018780	1.672682	1.672682
269	0.522971	0	0	0	0.552816	0.632528	0.632528
270	0.130808	0	0	0	0.138668	1.642505	1.642505
271	-0.151888	0	0	0	-0.150752	1.949239	1.949239
272	0.276511	0	0	0	0.295298	0.276510	-0.001065
273	-0.045631	0	0	0	-0.044112	1.796063	1.796063
274	-0.028868	0	0	0	-0.025741	0.219977	0.219977
275	0.018515	0	0	0	0.026415	0.980949	0.980949
276	0.179948	0	0	0	0.190445	0.453850	0.453850
277	0.265460	0	0	0	0.280072	1.156050	1.156050
278	-0.071240	0	0	0	-0.064937	1.569830	1.569830
279	-0.047209	0	0	0	-0.044395	0.320393	0.320393
280	-0.031657	0	0	0	-0.029023	0.852560	0.852560
281	-0.000821	0	0	0	-0.000610	2.710559	2.710559
282	0.009589	0	0	0	0.016074	0.872065	0.872065
283	-0.030844	0	0	0	-0.027827	2.834887	2.834887
284	-0.024630	0	0	0	-0.022736	1.500560	1.500560
285	-0.104265	0	0	0	-0.103388	1.182574	1.182574
286	-0.048769	0	0	0	-0.044864	1.974928	1.974928
287	-0.002022	0	0	0	-0.001589	0.948594	0.948594
288	0.164744	0	0	0	0.175785	0.959486	0.959486
289	-0.144012	0	0	0	-0.136828	1.019951	1.019951
290	0.232513	0	0	0	0.247471	1.476355	1.476355
291	-0.037082	0	0	0	-0.034269	0.800711	0.800711
292	-0.070429	0	0	0	-0.068862	0.354706	0.354706
293	-0.000034	0	0	0	-0.000020	2.632651	2.632651
294	-0.019891	0	2	2	-0.018836	2.573301	2.573301
295	-0.079232	0	0	0	-0.076196	1.309507	1.309507
296	-0.047912	0	0	0	-0.044867	2.397155	2.397155
297	0.151549	0	0	0	0.169384	1.070895	1.070895
298	-0.078165	0	1	1	-0.065451	3.046730	3.046730
299	0.264924	0	0	0	0.280470	1.165204	1.165204
300	-0.169836	0	0	0	-0.169043	0.933007	0.933007
301	0.124946	0	0	0	0.145476	0.951161	0.951161
302	0.455645	0	0	0	0.495633	0.685660	0.685660
303	0.239159	0	0	0	0.261303	0.997123	0.997123
304	-0.144285	0	0	0	-0.136185	1.522536	1.522536
305	0.130574	0	0	0	0.135341	0.698241	0.698241
306	-0.156982	0	0	0	-0.154022	1.876807	1.876807
307	-0.054882	0	0	0	-0.051396	0.548721	0.548721
308	0.121489	0	0	0	0.131767	1.197933	1.197933
309	-0.086875	0	1	1	-0.078878	2.515021	2.515021
310	-0.035031	0	0	0	-0.032684	1.235484	1.235484
311	-0.001426	0	0	0	-0.001181	0.499884	0.499884
312	-0.042162	0	0	0	-0.040112	1.336798	1.336798
313	-0.001435	0	0	0	-0.001209	0.860944	0.860944
314	-0.027458	0	0	0	-0.025803	0.734551	0.734551
315	-0.059524	0	0	0	-0.057298	1.107047	1.107047
316	-0.031664	0	0	0	-0.029401	2.373399	2.373399
317	0.072997	0	0	0	0.094874	1.376664	1.376664
318	-0.013537	0	0	0	-0.001693	0.556306	0.556306
319	-0.008713	0	0	0	-0.007642	0.763134	0.763134
320	-0.032693	0	0	0	-0.029974	1.753695	1.753695
321	0.189738	0	0	0	0.217859	1.574055	1.574055
322	-0.077776	0	0	0	-0.072545	1.958232	1.958232
323	0.304829	0	0	0	0.339942	0.911957	0.911957
324	-0.091558	0	0	0	-0.089257	0.858998	0.858998
325	0.073180	0	0	0	0.082875	0.731956	0.731956
326	0.070767	0	0	0	0.086815	0.847495	0.847495
327	0.323263	0	0	0	0.339408	1.815430	1.815430
328	-0.003632	0	1	1	-0.003049	2.656751	2.656751
329	0.261327	0	0	0	0.268631	1.084490	1.084490
330	0.126445	0	0	0	0.151922	1.382182	1.382182
331	0.264302	0	0	0	0.298446	1.365590	1.365590
332	0.329900	0	0	0	0.352968	1.802411	1.802411
333	0.120550	0	0	0	0.137592	0.586196	0.586196
334	-0.001614	0	0	0	-0.001265	0.607646	0.607646
335	-0.000464	0	0	0	0.010752	1.184549	1.184549
336	-0.005446	0	0	0	-0.004651	1.593950	1.593950
337	-0.138912	0	0	0	-0.135084	0.547524	0.547524
338	0.464590	0	0	0	0.494025	1.786440	1.786440
339	0.620494	0	0	0	0.671851	0.620496	0.084083
340	-0.001432	0	0	0	-0.001033	0.833419	0.833419
341	0.080220	0	0	0	0.090666	0.332240	0.332240
342	-0.035318	0	0	1	-0.032583	2.259221	2.259221
343	0.160212	0	0	0	0.170184	1.409265	1.409265
344	-0.057163	0	0	0	-0.052814	2.355528	2.355528
345	-0.161822	0	0	0	-0.159886	2.155803	2.155803
346	0.069080	0	0	0	0.075875	1.560223	1.560223
347	-0.009816	0	0	0	-0.008073	0.382378	0.382378
348	-0.031985	0	0	0	-0.029648	0.571164	0.571164
349	-0.043116	0	0	0	-0.043116	3.173759	3.173759
350	-0.105121	0	0	0	-0.102362	0.853767	0.853767
351	0.235934	0	0	0	0.261679	0.664903	0.664903
352	-0.017298	0	0	0	-0.015495	1.804278	1.804278
353	0.628512	0	0	0	0.680993	1.512158	1.512158
354	0.487697	0	0	0	0.514461	1.734873	1.734873
355	0.039904	0	0	0	0.051989	1.445363	1.445363
356	0.058777	0	0	0	0.075710	2.391706	2.391706
357	0.201255	0	0	0	0.211522	1.775418	1.775418
358	-0.017703	0	0	0	-0.004656	0.707461	0.707461
359	-0.154860	0	0	0	-0.148449	1.397889	1.397889
360	-0.036797	0	0	0	-0.032824	0.890119	0.890119
361	-0.131112	0	0	0	-0.129145	0.188698	0.188698
362	0.092153	0	0	0	0.104393	1.139004	1.139004
363	-0.025575	0	0	0	-0.024139	1.821369	1.821369
364	0.487468	0	0	0	0.505416	1.819702	1.819702
365	-0.079448	0	0	0	-0.072023	2.321467	2.321467
366	0.274240	0	0	0	0.284317	1.219965	1.219965
367	0.215529	0	0	0	0.233015	0.735998	0.735998
368	0.388823	0	0	0	0.402503	1.001235	1.001235
369	0.347551	0	0	0	0.370368	1.434194	1.434194
370	0.078078	0	0	0	0.092033	0.750781	0.750781
371	-0.071565	0	0	0	-0.055326	1.213522	1.213522
372	0.431521	0	0	0	0.463679	1.665325	1.665325
373	-0.006291	0	0	0	-0.005088	2.585482	2.585482
374	0.213034	0	0	0	0.241598	0.905903	0.905903
375	-0.040091	0	0	0	-0.035704	2.508738	2.508738
376	0.552976	0	0	0	0.576471	1.447822	1.447822
377	-0.003668	0	0	0	-0.002840	0.827557	0.827557
378	-0.055551	0	1	1	-0.052864	2.821353	2.821353
379	-0.097585	0	0	0	-0.093983	1.122217	1.122217
380	0.376963	0	0	0	0.391748	0.543084	0.543084
381	0.277761	0	0	0	0.292529	0.585449	0.585449
382	-0.099199	0	6	11	-0.093366	3.430532	3.430532
383	0.349408	0	0	0	0.377481	0.508462	0.508462
384	0.021627	0	0	0	0.034982	1.144124	1.144124
385	-0.029374	0	0	0	-0.026800	0.971252	0.971252
386	0.405338	0	0	0	0.436930	1.584998	1.584998
387	-0.047449	0	0	0	-0.043974	1.473333	1.473333
388	-0.000010	0	0	0	-0.000006	1.743618	1.743618
389	0.165120	0	0	0	0.187031	0.772131	0.772131
390	-0.051900	0	0	0	-0.048471	1.990128	1.990128
391	0.216140	0	0	0	0.231902	0.389252	0.389252
392	-0.028756	0	0	0	-0.027747	0.273028	0.273028
393	0.394967	0	0	0	0.399916	1.151192	1.151192
394	-0.015724	0	0	0	-0.014761	2.321198	2.321198
395	0.200060	0	0	0	0.212487	0.561370	0.561370
396	-0.058450	0	1	1	-0.054508	2.450935	2.450935
397	0.194776	0	0	0	0.215882	0.931015	0.931015
