# generated_utc	2026-08-14T14:49:09+00:00
# script	probe_v4.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	88
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	block	carrier	incumbent	incumbent_val	pred_delta	signed_delta	pred_err	pred_sign_ok
great	1	R	1	1888	0.517667	1	2256	2.878538	["great"]	[18223]	-0.00705	0	-0.101313	1	2.878538	1	2.360871	0					carrier_alone	great						
we Mackinaw	1	R	4	20	0.30717	3	1790	3.126079	["we", " Mack", "in", "aw"]	[732, 16640, 259, 707]	3.126079	3	2.569201	3	2.634731	2	2.36087	0	we Mackin	20	0.30717	1	carriers	we	1790	2.818908	0.307171	0.30717	-1e-06	1
we	1	R	1	1790	0.19991	1	1888	2.818908	["we"]	[732]	-0.00705	0	-0.085557	1	2.618998	1	2.360871	0					carrier_alone	we						
he Mackinaw	1	R	4	20	0.152556	3	1790	3.042406	["he", " Mack", "in", "aw"]	[258, 16640, 259, 707]	3.042406	3	2.530853	3	2.53288	2	2.36087	0	he Mackin	20	0.152556	1	carriers	he	1790	2.889851	0.152555	0.152556	1e-06	1
he	1	R	1	1790	0.374582	1	1888	2.889851	["he"]	[258]	-0.00705	0	-0.122657	0	2.515269	1	2.360871	0					carrier_alone	he						
they Mackinaw	1	R	4	20	0.42821	3	1430	3.059292	["they", " Mack", "in", "aw"]	[9930, 16640, 259, 707]	3.059292	3	2.631082	3	2.476814	2	2.36087	0	they Mackin	20	0.42821	1	carriers	they	2256	2.360871	0.698421	0.42821	-0.270211	1
they	1	R	1	2256	0.053376	0	1790	2.360871	["they"]	[9930]	-0.00705	0	-0.082132	1	2.214761	1	2.360871	0					carrier_alone	they						
sailed Mackinaw	1	R	5	20	0.359278	4	945	3.23545	["s", "ailed", " Mack", "in", "aw"]	[82, 6255, 16640, 259, 707]	3.23545	4	2.706041	4	2.579563	1	2.36087	0	sailed Mackin	20	0.359278	1	carriers	sailed	945	2.876171	0.359279	0.359278	-1e-06	1
sailed	1	R	2	945	0.00386	1	1790	2.876171	["s", "ailed"]	[82, 6255]	-0.00705	0	1.328729	2	2.579564	1	2.360871	0					carrier_alone	sailed						
beside Mackinaw	1	R	5	20	0.364989	4	1888	3.298784	["bes", "ide", " Mack", "in", "aw"]	[12636, 485, 16640, 259, 707]	3.298784	4	2.666737	4	2.933795	1	2.36087	0	beside Mackin	20	0.36499	1	carriers	beside	1888	2.933792	0.364992	0.364989	-3e-06	1
beside	1	R	2	1888	0.027946	1	1790	2.933792	["bes", "ide"]	[12636, 485]	-0.00705	0	0.539528	2	2.933792	1	2.360871	0					carrier_alone	beside						
past Mackinaw	1	R	4	20	0.40323	3	1430	3.295039	["past", " Mack", "in", "aw"]	[30119, 16640, 259, 707]	3.295039	3	2.891809	3	2.88693	1	2.36087	0	past Mackin	20	0.40323	1	carriers	past	1888	2.886934	0.408105	0.40323	-0.004875	1
past	1	R	1	1888	0.526063	1	2256	2.886934	["past"]	[30119]	-0.00705	0	-0.122657	0	2.886934	1	2.360871	0					carrier_alone	past						
toward Mackinaw	1	R	5	20	0.228716	4	1430	3.176432	["t", "oward", " Mack", "in", "aw"]	[83, 46138, 16640, 259, 707]	3.176432	4	2.947717	4	2.862757	1	2.36087	0	toward Mackin	20	0.228719	1	carriers	toward	1790	2.915317	0.261115	0.228716	-0.032399	1
toward	1	R	2	1790	0.052557	1	1888	2.915317	["t", "oward"]	[83, 46138]	-0.00705	0	-0.027894	2	2.862759	1	2.360871	0					carrier_alone	toward						
under Mackinaw	1	R	4	20	0.287992	3	1430	3.22957	["under", " Mack", "in", "aw"]	[4625, 16640, 259, 707]	3.22957	3	2.941578	3	2.703155	2	2.36087	0	under Mackin	20	0.287992	1	carriers	under	1790	2.722909	0.506661	0.287992	-0.218669	1
under	1	R	1	1790	0.048088	1	1888	2.722909	["under"]	[4625]	-0.00705	0	-0.101975	1	2.674821	1	2.360871	0					carrier_alone	under						
aboard Mackinaw	1	R	5	20	0.202148	4	1430	3.111976	["ab", "oard", " Mack", "in", "aw"]	[397, 11953, 16640, 259, 707]	3.111976	4	2.909828	4	2.731459	1	2.36087	0	aboard Mackin	20	0.202146	1	carriers	aboard	1790	2.787759	0.324217	0.202148	-0.122069	1
aboard	1	R	2	1790	0.0563	1	1888	2.787759	["ab", "oard"]	[397, 11953]	-0.003069	1	-0.054899	2	2.731458	1	2.360871	0					carrier_alone	aboard						
left Mackinaw	1	R	4	20	0.361177	3	1430	3.30321	["left", " Mack", "in", "aw"]	[9464, 16640, 259, 707]	3.30321	3	2.942033	3	2.820196	2	2.36087	0	left Mackin	20	0.361177	1	carriers	left	1888	2.772761	0.530449	0.361177	-0.169272	1
left	1	R	1	1888	0.309091	1	2052	2.772761	["left"]	[9464]	-0.00705	0	-0.009245	1	2.772761	1	2.360871	0					carrier_alone	left						
Michigan Mackinaw	1	R	4	20	0.076238	3	1888	3.273844	["Michigan", " Mack", "in", "aw"]	[40610, 16640, 259, 707]	3.273844	3	2.887732	3	3.197606	1	2.36087	0	Michigan Mackin	20	0.076238	1	carriers	Michigan	1888	3.19761	0.076234	0.076238	4e-06	1
Michigan	1	R	1	1888	0.836739	1	2256	3.19761	["Michigan"]	[40610]	-0.00705	0	-0.111645	1	3.19761	1	2.360871	0					carrier_alone	Michigan						
Boston Mackinaw	1	R	4	1888	0.381785	1	20	3.629742	["Boston", " Mack", "in", "aw"]	[31710, 16640, 259, 707]	3.247957	3	2.799921	3	3.629742	1	2.36087	0	Boston	1888	1.268872	1	carriers	Boston	1888	3.629743	-0.381786	-0.381785	1e-06	1
Boston	1	R	1	1888	1.268872	1	2256	3.629743	["Boston"]	[31710]	-0.00705	0	-0.09693	1	3.629743	1	2.360871	0					carrier_alone	Boston						
