# generated_utc	2026-08-14T14:56:01+00:00
# script	probe_v5.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	232
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	arm	canonical
at Mackinaw	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "aw"]	[265, 16640, 259, 707]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	B_gate	1
at Nantucket	1	R	4	858	0.116225	2	942	2.703562	["at", " N", "ant", "ucket"]	[265, 399, 415, 38811]	-0.00705	0	-0.046728	3	2.265475	2	2.36087	0	at N	858	0.336806	1	B_gate	1
at Iceland	1	R	2	2256	0.110072	0	1790	2.360871	["at", " Iceland"]	[265, 17333]	-0.00705	0	-0.122657	0	2.242621	2	2.360871	0				bos_footprint	B_gate	1
at Greenland	1	R	2	1888	0.222999	2	2256	2.58387	["at", " Greenland"]	[265, 30155]	-0.00705	0	-0.122657	0	2.58387	2	2.360871	0	at Greenland	1888	0.222999	1	B_gate	1
at Labrador	1	R	2	1888	0.064944	2	2256	2.425815	["at", " Labrador"]	[265, 45246]	-0.00705	0	-0.122657	0	2.425815	2	2.360871	0	at Labrador	1888	0.064944	1	B_gate	1
at Patagonia	1	R	4	1956	0.183193	3	2256	2.544063	["at", " Pat", "agon", "ia"]	[265, 3208, 1840, 544]	0.442853	3	-0.057712	2	2.128478	1	2.36087	0	at Patagon	1956	0.183193	1	B_gate	1
at Zanzibar	1	R	5	1888	0.114271	2	1790	2.660556	["at", " Z", "anz", "ib", "ar"]	[265, 1168, 35410, 571, 283]	0.908261	4	0.151485	4	2.660556	2	2.36087	0	at Z	1888	0.299683	1	B_gate	1
at harbour	1	R	2	1888	0.030466	2	1790	2.519241	["at", " harbour"]	[265, 39720]	-0.00705	0	-0.122657	0	2.519241	2	2.360871	0	at harbour	1888	0.030466	1	B_gate	1
at anchor	1	R	2	2256	0.110072	0	1790	2.360871	["at", " anchor"]	[265, 18021]	-0.00705	0	-0.058918	2	2.128478	1	2.360871	0				bos_footprint	B_gate	1
at rigging	1	R	2	2256	0.09304	0	1888	2.360871	["at", " rigging"]	[265, 48784]	-0.00705	0	-0.047499	2	2.267832	2	2.360871	0				bos_footprint	B_gate	1
at fathom	1	R	3	1970	0.000605	2	2874	2.868953	["at", " f", "athom"]	[265, 277, 32910]	-0.00705	0	-0.093923	2	2.584097	3	2.36087	0	at f	1970	0.000608	1	B_gate	1
at leeward	1	R	4	2044	0.571842	3	1870	3.444852	["at", " le", "ew", "ard"]	[265, 443, 413, 446]	-0.00705	0	-0.040178	2	2.128478	1	2.36087	0	at leew	2044	0.571842	1	B_gate	1
at starboard	1	R	3	1888	0.115516	2	281	2.661422	["at", " star", "board"]	[265, 3491, 3526]	-0.00705	0	-0.029681	2	2.661422	2	2.36087	0	at star	1888	0.115513	1	B_gate	1
at binnacle	1	R	3	2874	0.210851	2	1790	3.117989	["at", " b", "innacle"]	[265, 275, 37087]	-0.004558	2	-0.05057	3	2.341018	2	2.36087	0	at b	2874	0.750144	1	B_gate	1
at scrimshaw	1	R	3	281	0.01826	3	1790	3.068657	["at", " scrim", "shaw"]	[265, 32157, 32832]	0.281239	3	-0.054068	3	2.421297	2	2.36087	0	at scrimshaw	281	0.01826	1	B_gate	1
at whale	1	R	2	2256	0.079787	0	1888	2.360871	["at", " whale"]	[265, 22206]	-0.00705	0	-0.122657	0	2.281085	2	2.360871	0				bos_footprint	B_gate	1
at porpoise	1	R	4	1790	0.44732	3	2256	2.80819	["at", " por", "po", "ise"]	[265, 16964, 7501, 786]	-0.00705	0	-0.028783	4	2.358229	2	2.36087	0	at porpo	1790	0.44732	1	B_gate	1
at kraken	1	R	4	1790	0.167675	4	1888	2.638395	["at", " k", "ra", "ken"]	[265, 479, 430, 3464]	-0.00705	0	1.432523	3	2.47072	2	2.36087	0	at kraken	1790	0.167675	1	B_gate	1
at albatross	1	R	4	1787	0.31632	3	1790	3.008992	["at", " al", "bat", "ross"]	[265, 435, 8664, 1214]	-0.00705	0	-0.051982	2	2.128478	1	2.36087	0	at albat	1787	0.31632	1	B_gate	1
at petrel	1	R	3	2256	0.018537	0	1888	2.36087	["at", " pet", "rel"]	[265, 4273, 2411]	-0.00705	0	-0.122657	0	2.342333	2	2.36087	0				bos_footprint	B_gate	1
at cormorant	1	R	5	1790	0.168279	3	2874	2.829188	["at", " c", "orm", "or", "ant"]	[265, 269, 579, 273, 415]	-0.00705	0	-0.030064	5	2.406865	5	2.36087	0	at corm	1790	0.168279	1	B_gate	1
at tavern	1	R	2	1888	0.037415	2	2256	2.398286	["at", " tavern"]	[265, 42488]	-0.00705	0	-0.122657	0	2.398286	2	2.360871	0	at tavern	1888	0.037415	1	B_gate	1
at chowder	1	R	3	281	0.063371	2	1790	2.691022	["at", " ch", "owder"]	[265, 442, 34656]	-0.00705	0	0.137888	3	2.297049	2	2.36087	0	at ch	281	0.256334	1	B_gate	1
at ledger	1	R	2	1888	0.19047	2	1790	2.649749	["at", " ledger"]	[265, 37208]	-0.00705	0	-0.046825	2	2.649749	2	2.360871	0	at ledger	1888	0.19047	1	B_gate	1
at pulpit	1	R	3	1888	0.216035	2	2256	2.576905	["at", " pul", "pit"]	[265, 17472, 15544]	-0.00705	0	-0.087354	2	2.576905	2	2.36087	0	at pul	1888	0.216035	1	B_gate	1
at sermon	1	R	2	1888	0.309582	2	2256	2.670454	["at", " sermon"]	[265, 39362]	-0.00705	0	-0.122657	0	2.670454	2	2.360871	0	at sermon	1888	0.309582	1	B_gate	1
at parson	1	R	3	281	0.097397	2	2874	2.481235	["at", " p", "arson"]	[265, 279, 12613]	-0.00705	0	-0.049276	2	2.128478	1	2.36087	0	at p	281	0.0974	1	B_gate	1
at compass	1	R	2	1888	0.198825	2	2256	2.559696	["at", " compass"]	[265, 31855]	-0.00705	0	-0.105277	2	2.559696	2	2.360871	0	at compass	1888	0.198825	1	B_gate	1
at quadrant	1	R	3	750	0.425726	3	1790	3.062564	["at", " quad", "rant"]	[265, 15094, 5250]	-0.00705	0	-0.001064	3	2.502861	2	2.36087	0	at quadrant	750	0.425726	1	B_gate	1
at sextant	1	R	4	25	0.286967	3	2364	2.682036	["at", " se", "xt", "ant"]	[265, 384, 742, 415]	-0.00705	0	0.342827	3	2.128478	1	2.36087	0	at sext	25	0.321166	1	B_gate	1
at chronometer	1	R	3	1888	0.522209	2	2256	2.883079	["at", " chron", "ometer"]	[265, 16199, 15635]	-0.00705	0	-0.101714	2	2.883079	2	2.36087	0	at chron	1888	0.522207	1	B_gate	1
at lantern	1	R	2	1888	0.105213	2	2256	2.466084	["at", " lantern"]	[265, 41207]	-0.00705	0	-0.119429	2	2.466084	2	2.360871	0	at lantern	1888	0.105213	1	B_gate	1
at robin	1	R	3	281	1.049642	3	2256	3.410512	["at", " rob", "in"]	[265, 3857, 259]	-0.00705	0	-0.030447	2	2.183644	2	2.36087	0	at robin	281	1.049642	1	B_gate	1
at cabin	1	R	2	1888	0.011849	2	2256	2.37272	["at", " cabin"]	[265, 9351]	-0.00705	0	-0.100764	2	2.37272	2	2.360871	0	at cabin	1888	0.011849	1	B_gate	1
at napkin	1	R	3	1888	0.302028	2	2256	2.662898	["at", " nap", "kin"]	[265, 25422, 5116]	-0.00705	0	-0.122657	0	2.662898	2	2.36087	0	at nap	1888	0.302026	1	B_gate	1
at coffin	1	R	2	1888	0.249643	2	2256	2.610514	["at", " coffin"]	[265, 30834]	-0.00705	0	-0.087051	2	2.610514	2	2.360871	0	at coffin	1888	0.249643	1	B_gate	1
at muffin	1	R	3	2256	0.057282	0	1790	2.36087	["at", " muff", "in"]	[265, 27563, 259]	-0.00705	0	-0.092017	3	2.186525	2	2.36087	0				bos_footprint	B_gate	1
at goblin	1	R	2	1790	0.008675	2	1888	2.640664	["at", " goblin"]	[265, 44625]	-0.00705	0	-0.119479	2	2.631989	2	2.360871	0	at goblin	1790	0.008675	1	B_gate	1
at basin	1	R	2	1790	0.019526	2	2256	2.380397	["at", " basin"]	[265, 34164]	-0.00705	0	-0.085045	2	2.206849	2	2.360871	0	at basin	1790	0.019526	1	B_gate	1
at margin	1	R	2	2256	0.110072	0	1790	2.360871	["at", " margin"]	[265, 10330]	-0.00705	0	-0.006899	2	2.128478	1	2.360871	0				bos_footprint	B_gate	1
at Franklin	1	R	2	2256	0.110072	0	1790	2.360871	["at", " Franklin"]	[265, 14021]	-0.00705	0	-0.062886	2	2.128478	1	2.360871	0				bos_footprint	B_gate	1
at Dublin	1	R	2	2256	0.008201	0	1888	2.360871	["at", " Dublin"]	[265, 18220]	0.110274	2	-0.034496	2	2.35267	2	2.360871	0				bos_footprint	B_gate	1
