# generated_utc	2026-08-14T15:32:51+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	153
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_38	peakpos_38	peak_281	peakpos_281	peak_464	peakpos_464	peak_1430	peakpos_1430	peak_1790	peakpos_1790	peak_1888	peakpos_1888	peak_2094	peakpos_2094	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	seed_name	seed_string	target_dest	branch	rng_seed	evaluation_index	source_string	source_token_ids	intended_token_ids	realised_token_ids	intended_n_tok	realised_n_tok	intended_edit_distance	realised_edit_distance	roundtrip_stable	intervention_agrees	edit_position
at Mackinest	1	R	4	2594	0.015171	4	20	3.096518	["at", " Mack", "in", "est"]	[265, 16640, 259, 395]	3.081347	3	0.11632	0	0.175272	2	-0.003038	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackinest	2594	0.015171	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	10	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 395]	[265, 16640, 259, 395]	4	4	1	1	1	1	NA
at Artistsinaw	1	R	4	1898	0.490777	4	1888	2.876004	["at", " Artists", "in", "aw"]	[265, 37599, 259, 707]	-0.00705	0	0.11632	0	0.474564	4	-0.000133	3	0.633777	3	2.250798	1	2.385227	2	0.239423	0	2.36087	0	at Artistsinaw	1898	0.490777	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	1	at Mackinaw	[265, 16640, 259, 707]	[265, 37599, 259, 707]	[265, 37599, 259, 707]	4	4	1	1	1	1	1
 Dennis Mackinaw	1	R	4	1888	0.465838	1	20	3.062109	[" Dennis", " Mack", "in", "aw"]	[16902, 16640, 259, 707]	2.59627	3	0.11632	0	-0.000821	0	0.558351	1	2.339061	3	2.305036	3	3.062109	1	0.239423	0	2.36087	0	 Dennis	1888	0.701238	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	2	at Mackinaw	[265, 16640, 259, 707]	[16902, 16640, 259, 707]	[16902, 16640, 259, 707]	4	4	1	1	1	1	0
 Veteran Mackinaw	1	R	4	20	0.059724	3	1888	3.224573	[" Veteran", " Mack", "in", "aw"]	[32733, 16640, 259, 707]	3.224573	3	0.11632	0	-0.000821	0	1.409008	1	2.850615	3	2.403769	1	3.164848	1	0.239423	0	2.36087	0	 Veteran Mackin	20	0.059724	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	3	at Mackinaw	[265, 16640, 259, 707]	[32733, 16640, 259, 707]	[32733, 16640, 259, 707]	4	4	1	1	1	1	0
at MackinMedium	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", "Medium"]	[265, 16640, 259, 31205]	3.081347	3	0.11632	0	0.175272	2	-0.001055	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	4	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 31205]	[265, 16640, 259, 31205]	4	4	1	1	1	1	3
at Mackin Fel	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", " Fel"]	[265, 16640, 259, 13937]	3.081347	3	0.11632	0	0.175272	2	-0.033355	0	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	5	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 13937]	[265, 16640, 259, 13937]	4	4	1	1	1	1	3
fitting Mackinaw	1	R	4	20	0.352033	3	1888	3.248797	["fitting", " Mack", "in", "aw"]	[32232, 16640, 259, 707]	3.248797	3	0.11632	0	0.251219	1	0.359865	1	2.889395	3	2.546276	2	2.896764	2	0.239423	0	2.36087	0	fitting Mackin	20	0.352033	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	6	at Mackinaw	[265, 16640, 259, 707]	[32232, 16640, 259, 707]	[32232, 16640, 259, 707]	4	4	1	1	1	1	0
 Glory Mackinaw	1	R	4	1888	0.460407	1	1790	3.527963	[" Glory", " Mack", "in", "aw"]	[25778, 16640, 259, 707]	2.718491	3	0.11632	0	-0.000821	0	1.006044	1	2.265645	3	3.067556	1	3.527963	1	0.239423	0	2.36087	0	 Glory	1888	0.460407	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	7	at Mackinaw	[265, 16640, 259, 707]	[25778, 16640, 259, 707]	[25778, 16640, 259, 707]	4	4	1	1	1	1	0
at Mackin persuasive	1	R	4	20	0.302619	3	1888	3.081347	["at", " Mack", "in", " persuasive"]	[265, 16640, 259, 40116]	3.081347	3	0.11632	0	0.175272	2	-0.033355	0	2.759242	3	2.675189	4	2.778728	4	1.056385	4	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	8	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 40116]	[265, 16640, 259, 40116]	4	4	1	1	1	1	3
 subdiv Mackinaw	1	R	4	1888	0.261552	1	1790	3.627761	[" subdiv", " Mack", "in", "aw"]	[45944, 16640, 259, 707]	3.188059	3	0.11632	0	-0.000821	0	1.273824	1	2.707661	3	3.366209	1	3.627761	1	0.239423	0	2.36087	0	 subdiv	1888	0.261551	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	9	at Mackinaw	[265, 16640, 259, 707]	[45944, 16640, 259, 707]	[45944, 16640, 259, 707]	4	4	1	1	1	1	0
at Mackin garlic	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", " garlic"]	[265, 16640, 259, 17644]	3.081347	3	0.11632	0	0.175272	2	-0.033355	0	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	C_LOCAL	0	10	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 17644]	[265, 16640, 259, 17644]	4	4	1	1	1	1	3
 choose walkinglevel Fallout	1	R	4	464	0.399282	1	1888	3.177628	[" choose", " walking", "level", " Fallout"]	[3853, 6155, 5715, 23886]	-0.00705	0	0.11632	0	1.525147	3	3.177628	1	-0.067686	4	2.317758	1	2.778347	4	0.239423	0	2.36087	0	 choose	464	0.581066	1	mackinaw_20	at Mackinaw	20	D_RANDOM_TOKEN	0	1	at Mackinaw	[265, 16640, 259, 707]	[3853, 6155, 5715, 23886]	[3853, 6155, 5715, 23886]	4	4	4	4	1	1	NA
 meth TBA Vend Bom	1	R	4	1888	0.104296	1	1790	3.142193	[" meth", " TBA", " Vend", " Bom"]	[11248, 48591, 44220, 20403]	-0.00705	0	0.11632	0	-0.000821	0	1.184906	1	-0.058563	2	3.037897	4	3.142193	1	0.239423	0	2.36087	0	 meth	1888	0.781324	1	mackinaw_20	at Mackinaw	20	D_RANDOM_TOKEN	0	2	at Mackinaw	[265, 16640, 259, 707]	[11248, 48591, 44220, 20403]	[11248, 48591, 44220, 20403]	4	4	4	4	1	1	NA
